sample_id	batch_id	green_idat	red_idat
8033684131-C	GSAv2	203533890011_R03C02_Grn.idat.gz	203533890011_R03C02_Red.idat.gz
8033684079-C	GSAv2	203533890011_R04C01_Grn.idat.gz	203533890011_R04C01_Red.idat.gz
8033162988-C	GSAv2	203533890011_R04C02_Grn.idat.gz	203533890011_R04C02_Red.idat.gz
8037737797-G	GSAv2	203533890011_R05C01_Grn.idat.gz	203533890011_R05C01_Red.idat.gz
8033684155-C	GSAv2	203533890011_R05C02_Grn.idat.gz	203533890011_R05C02_Red.idat.gz
8033684105-C	GSAv2	203533890011_R06C01_Grn.idat.gz	203533890011_R06C01_Red.idat.gz
8033684076-C	GSAv2	203533890011_R06C02_Grn.idat.gz	203533890011_R06C02_Red.idat.gz
8033673352-G	GSAv2	203533890011_R07C01_Grn.idat.gz	203533890011_R07C01_Red.idat.gz
8033684142-C	GSAv2	203533890011_R07C02_Grn.idat.gz	203533890011_R07C02_Red.idat.gz
8033684170-C	GSAv2	203533890011_R08C01_Grn.idat.gz	203533890011_R08C01_Red.idat.gz
8033684102-C	GSAv2	203533890011_R08C02_Grn.idat.gz	203533890011_R08C02_Red.idat.gz
8035158042-G	GSAv2	203533890011_R09C01_Grn.idat.gz	203533890011_R09C01_Red.idat.gz
8033684097-C	GSAv2	203533890011_R09C02_Grn.idat.gz	203533890011_R09C02_Red.idat.gz
8033684145-C	GSAv2	203533890011_R10C01_Grn.idat.gz	203533890011_R10C01_Red.idat.gz
8033684112-C	GSAv2	203533890011_R10C02_Grn.idat.gz	203533890011_R10C02_Red.idat.gz
8033684140-C	GSAv2	203533890011_R11C01_Grn.idat.gz	203533890011_R11C01_Red.idat.gz
8035134595-C	GSAv2	203533890011_R11C02_Grn.idat.gz	203533890011_R11C02_Red.idat.gz
8033684113-C	GSAv2	203533890011_R12C01_Grn.idat.gz	203533890011_R12C01_Red.idat.gz
09C79822-C	GSAv2	203533890011_R12C02_Grn.idat.gz	203533890011_R12C02_Red.idat.gz
